N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.03,0,=D4 - D3
4,Optimal,0.02,0,=D5 - D4
5,Optimal,0.00,0,=D6 - D5
6,Optimal,0.08,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.00,0,=D9 - D8
9,Optimal,0.09,0,=D10 - D9
10,Optimal,0.03,0,=D11 - D10
11,Optimal,0.03,0,=D12 - D11
12,Optimal,0.00,0,=D13 - D12
13,Optimal,0.05,0,=D14 - D13
14,Optimal,0.08,0,=D15 - D14
15,Optimal,0.03,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.02,0,=D19 - D18
19,Optimal,0.09,0,=D20 - D19
20,Optimal,0.09,0,=D21 - D20
21,Optimal,0.09,0,=D22 - D21
22,Optimal,0.03,0,=D23 - D22
23,Optimal,0.03,0,=D24 - D23
24,Optimal,0.05,0,=D25 - D24
25,Optimal,3.45,180,=D26 - D25
26,Optimal,67.13,360,=D27 - D26
27,Optimal,18.61,540,=D28 - D27
28,Optimal,22.27,720,=D29 - D28
29,Optimal,26.77,900,=D30 - D29
30,Optimal,33.97,1080,=D31 - D30
31,Optimal,29.61,1260,=D32 - D31
32,Optimal,39.22,1440,=D33 - D32
33,Optimal,39.52,1620,=D34 - D33
34,Optimal,12.66,1800,=D35 - D34
35,Optimal,13.45,1980,=D36 - D35
36,Optimal,5.44,2160,=D37 - D36
37,Optimal,28.48,2520,=D38 - D37
38,Optimal,33.72,2880,=D39 - D38
39,Optimal,102.92,3240,=D40 - D39
40,Optimal,46.53,3600,=D41 - D40
41,Optimal,16.41,3960,=D42 - D41
42,Optimal,18.06,4320,=D43 - D42
43,Optimal,22.77,4680,=D44 - D43
44,Optimal,18.61,5040,=D45 - D44
45,Optimal,16.59,5400,=D46 - D45
46,Optimal,15.48,5760,=D47 - D46
47,Optimal,10.20,6300,=D48 - D47
48,Optimal,41.61,6840,=D49 - D48
49,Optimal,36.14,7380,=D50 - D49
50,Optimal,46.23,7920,=D51 - D50
51,Optimal,15.19,8640,=D52 - D51
52,Optimal,11.13,9360,=D53 - D52
53,Optimal,11.31,10080,=D54 - D53
54,Optimal,13.00,10800,=D55 - D54
55,Optimal,56.78,11520,=D56 - D55
56,Optimal,11.30,12240,=D57 - D56
57,Optimal,12.86,12960,=D58 - D57
58,Optimal,41.47,13680,=D59 - D58
59,Optimal,7.13,14400,=D60 - D59
60,Optimal,54.14,15120,=D61 - D60
61,Optimal,8.92,15840,=D62 - D61
62,Optimal,15.23,16560,=D63 - D62
63,Optimal,46.81,17280,=D64 - D63
64,Optimal,39.97,18000,=D65 - D64
65,Optimal,31.72,18720,=D66 - D65
66,Optimal,30.78,19440,=D67 - D66
67,Optimal,45.86,20340,=D68 - D67
68,Optimal,103.05,21420,=D69 - D68
69,Optimal,128.33,22680,=D70 - D69
70,Optimal,263.14,23940,=D71 - D70
71,Optimal,341.17,25200,=D72 - D71
72,Optimal,72.16,26460,=D73 - D72
73,Optimal,442.19,27720,=D74 - D73
74,Optimal,129.83,28980,=D75 - D74
75,Optimal,23.47,30240,=D76 - D75
76,Optimal,89.00,31500,=D77 - D76
77,Optimal,0.02,32760,=D78 - D77
78,Optimal,74.73,34200,=D79 - D78
79,Optimal,0.02,35640,=D80 - D79
80,Optimal,0.03,37080,=D81 - D80
81,Optimal,0.09,38520,=D82 - D81
82,Optimal,0.08,39960,=D83 - D82
83,Optimal,0.06,41400,=D84 - D83
84,Optimal,0.03,42840,=D85 - D84
85,Optimal,0.03,44280,=D86 - D85
86,Optimal,0.02,45720,=D87 - D86
